"","V1","V2","V3","V4"
"1",200,100,10,2.24688100814819
"2",400,100,10,1.81364393234253
"3",600,100,10,1.63624906539917
"4",800,100,10,1.65251588821411
"5",1000,100,10,1.50180006027222
"6",1200,100,10,1.58053708076477
"7",1400,100,10,1.97577309608459
"8",1600,100,10,1.88041114807129
"9",1800,100,10,1.56835603713989
"10",2000,100,10,1.55337905883789
"11",2200,100,10,1.50018501281738
"12",2400,100,10,1.65612816810608
"13",2600,100,10,1.53125596046448
"14",2800,100,10,1.55654096603394
"15",3000,100,10,1.59602499008179
"16",3200,100,10,1.50472593307495
"17",3400,100,10,1.52597403526306
"18",3600,100,10,2.05444693565369
"19",3800,100,10,1.71049213409424
"20",4000,100,10,1.77239799499512
"21",4200,100,10,1.89780402183533
"22",4400,100,10,1.93809795379639
"23",4600,100,10,1.73080396652222
"24",4800,100,10,1.69057011604309
"25",5000,100,10,1.53440189361572
"26",5200,100,10,1.50128293037415
"27",5400,100,10,3.0497739315033
"28",5600,100,10,2.97125697135925
"29",5800,100,10,1.79034996032715
"30",6000,100,10,2.18993592262268
"31",6200,100,10,1.86674380302429
"32",6400,100,10,1.87503790855408
"33",6600,100,10,1.83917999267578
"34",6800,100,10,1.7360999584198
"35",7000,100,10,1.9424409866333
"36",7200,100,10,1.87357592582703
"37",7400,100,10,1.72263216972351
"38",7600,100,10,1.55709910392761
"39",7800,100,10,1.67553091049194
"40",8000,100,10,1.69791102409363
"41",8200,100,10,1.87907695770264
"42",8400,100,10,1.63762807846069
"43",8600,100,10,1.60318183898926
"44",8800,100,10,1.6915431022644
"45",9000,100,10,1.59206390380859
"46",9200,100,10,1.53887605667114
"47",9400,100,10,1.62635588645935
"48",9600,100,10,1.52448415756226
"49",9800,100,10,1.69935202598572
"50",10000,100,10,1.66603779792786
