"","Run Time Random Lasso","Run Time Rapid Lasso","Truth","Average Coef Random Lasso","Average Coef Rapid Lasso","Average Coef Random Lasso","Difference Rapid Lasso"
"1",10.4272197802862,1.28045599460602,3,0.662162319518703,0.594643756537667,2.33043872748345,2.39869451391885
"2",NA,NA,3,0.662903102880838,0.584709152348852,2.38098357341301,2.34973739020883
"3",NA,NA,-3,0.128402227616131,0.280355570176937,3.13409656676933,3.21953000100211
"4",NA,NA,2,0.260596190201192,0.265227924206219,1.76350141780374,1.73901912392827
"5",NA,NA,2,0.205819561457892,0.260191196586744,1.78338090595819,1.74201170504259
"6",NA,NA,-2,0.0787427488176133,0.168236134979193,2.09909166447884,2.21206419302808
"7",NA,NA,1.5,0.304144348332002,0.296523037346002,1.20163775000215,1.22378056731128
"8",NA,NA,1.5,0.302162315357362,0.303158063234144,1.19648652548105,1.115944976182
"9",NA,NA,1.5,0.209410864042562,0.236817474903834,1.31574365057391,1.28264509254232
"10",NA,NA,-1.5,0.0761548131438351,0.172875866276527,1.56969889157177,1.68658786502133
